TN,Hand,Hand.Angle,RT,MT,tgt_jump_size,ti,clamp_size,Exp,SN,Hand_dt,RT_dt,Hand_Diff,RT_Diff
1,11.79724813,56.79724813,351,35,0,45,0,3d_discrete,1,0,0,-5.801512945,-51
2,0.19422224,45.19422224,300,100,0,45,0,3d_discrete,1,-5.801512945,-25.5,4.018093295,-6
3,3.32060571,48.32060571,294,67,0,45,0,3d_discrete,1,-1.78341965,-21,-3.937049043,-37
4,-2.52326623,42.47673377,257,71,0,45,0,3d_discrete,1,-5.720468693,-43.5,1.405130363,-11
5,-2.19697045,42.80302955,246,56,0,45,0,3d_discrete,1,-4.31533833,-43.6,2.849013068,2
6,-2.13425876,42.86574124,248,50,0,45,0,3d_discrete,1,-1.466325262,-21,-2.691489536,50
7,-6.08074093,38.91925907,298,68,0,45,0,3d_discrete,1,-4.157814798,29.4,12.70830112,117
8,7.45429881,52.45429881,415,664,0,45,0,3d_discrete,1,8.550486322,122.2,-5.249884592,-70
9,3.38633433,48.38633433,345,52,0,45,0,3d_discrete,1,3.30060173,34.6,-6.600311828,-132
10,-3.46822926,41.53177074,213,52,0,45,0,3d_discrete,1,-3.299710098,-90.8,2.285897188,81
11,-0.9443504,44.0556496,294,67,0,45,0,3d_discrete,1,-1.01381291,-19,2.105132822,-5
12,2.97116326,47.97116326,289,45,0,45,0,3d_discrete,1,1.091319912,-22.2,-0.903772602,-24
13,0.72066362,45.72066362,265,42,0,45,0,3d_discrete,1,0.18754731,-16.2,3.30453615,-121
14,4.18491613,49.18491613,144,835,0,45,0,3d_discrete,1,3.49208346,-97,-4.752982502,117
15,0.15697435,45.15697435,261,35,0,45,0,3d_discrete,1,-1.260899042,10.4,3.768367218,-8
16,5.14276456,50.14276456,253,41,0,45,0,3d_discrete,1,2.507468176,10.6,-4.875153148,13
17,-0.40827655,44.59172345,266,17,0,45,0,3d_discrete,1,-2.367684972,28.2,-2.05721751,-6
18,-3.26203348,41.73796652,260,33,0,45,0,3d_discrete,1,-4.424902482,23.2,7.062718658,76
19,3.70462744,48.70462744,336,38,0,45,0,3d_discrete,1,2.637816176,60.8,-2.386025442,-20
20,1.60900891,46.60900891,316,36,0,45,0,3d_discrete,1,0.251790734,29.8,-4.343347758,-53
21,-4.7036147,40.2963853,263,33,0,45,0,3d_discrete,1,-4.091557024,-25.2,2.77098139,-100
22,-2.3137225,42.6862775,163,51,0,45,0,3d_discrete,1,-1.320575634,-104.6,3.310721956,98
23,2.06175769,47.06175769,261,33,0,45,0,3d_discrete,1,1.990146322,-6.8,-2.672995938,-148
24,-1.69020467,43.30979533,113,67,0,45,0,3d_discrete,1,-0.682849616,-110.2,3.52255686,100
25,1.88818801,46.88818801,213,52,0,45,0,3d_discrete,1,2.839707244,10.4,-3.842830142,17
26,-1.26739899,43.73260101,230,34,0,45,0,3d_discrete,1,-1.003122898,34,0.439914522,9
